"","Class","City.or.Town","District","2011","2001","1981","1971","1951","1901","x2011_1901"
"20","Class-I","Ambala (M Cl & OG) City","Ambala",104974,139279,104565,83633,57979,78638,133.490170146748
"17","Class-I","Rewari (M Cl)","Rewari",143021,100684,51562,43885,34082,27295,523.982414361605
"10","Class-I","Bhiwani (M Cl)","Bhiwani",196057,169531,101277,73086,52183,35917,545.861291310522
"16","Class-I","Kaithal (M Cl)","Kaithal",144915,117285,58385,45199,28422,14408,1005.79539144919
"18","Class-I","Palwal (M Cl & OG)","Palwal",131926,100722,47328,36207,13915,12830,1028.26188620421
"6","Class-I","Panipat (M Cl & OG)","Panipat",295970,354148,137927,87981,54981,26914,1099.68789477595
"12","Class-I","Sirsa (M Cl)","Sirsa",182534,160735,89068,48808,24980,15800,1155.27848101266
"5","Class-I","Karnal (M Cl & OG)","Karnal",302140,221236,132107,92784,59790,23559,1282.48227853474
"8","Class-I","Yamunanagar (M Cl & OG)","Yamunanagar",217071,306740,160424,115020,39627,13462,1612.47214381221
"4","Class-I","Hisar (M Cl & OG)","Hisar",307024,263186,137369,89437,35297,17647,1739.80846602822
"3","Class-I","Rohtak (M Cl)","Rohtak",374292,294577,166767,124755,71902,20323,1841.71628204497
"14","Class-I","Jind (M Cl)","Jind",167592,135855,56748,38161,19449,8047,2082.6643469616
"7","Class-I","Sonipat (M Cl & OG)","Sonipat",289333,225074,109369,62393,30189,12990,2227.35180908391
"13","Class-I","Bahadurgarh (M Cl)","Jhajjar",170767,131925,37488,25812,11170,5974,2858.50351523267
"15","Class-I","Thanesar (M Cl)","Kurukshetra",155152,122319,49052,29555,11273,5066,3062.61350177655
"1","Class-I","Faridabad (M Corp.)","Faridabad",1414050,1055938,330864,122817,37393,9816,14405.5623471883
"2","Class-I","Gurgaon (M Corp. & OG)","Gurgaon",886519,228820,100877,57151,18613,4765,18604.8058761805
